@@,item,itemlabel,position,positionlabel,startdate,enddate,psid
+++,Q97497997,Albert Jubithana,,"Minister of Transport, Communication & Tourism",2020-07-16,,
+++,Q97500097,Amar Ramadhin,,Minister of Public Health,2020-07-16,,
+++,Q97676583,Armand Achaibersing,,Minister of Finance,2020-07-16,,
+++,Q97667293,Bronto Somohardjo,,Minister of Internal Affairs,2020-07-16,,
->,Q333135,Chan Santokhi,Q878254,President of Suriname->President,2020-07-16,,Q333135-ccef9953-429a-2ae5-6307-9ae4d954d672
+++,Q44166904,David Abiamofo,,Minister of Natural Resources,2020-07-16,,
+++,Q64578247,Dinotha Vorswijk,,Minister of Land and Forest Management,2021-08-03,,
+++,Q97497908,Gracia EmanuÃ«l,,"Minister of Physical Planning, Land & Forestry Management",2020-07-16,,
+++,Q97688513,Hanafi Ramsaran,,Minister of Welfare and Housing,2020-07-16,,
+++,Q97680132,Kenneth Amoksi,,Minister of Justice and Police,2020-07-16,,
->,Q73243050,Krishna Mathoera,Q109120664,Minister of Defence of Suriname->Minister of Defense,2020-07-16,,Q73243050-7B262E40-A928-4082-8833-C09B3DC5CBB7
+++,Q3127467,Marie Levens,,"Minister of Education, Science & Culture",2020-07-16,,
+++,Q97678821,Prahlad Sewdien,,"Minister of Agriculture, Animal Husbandry & Fisheries",2020-07-16,,
+++,Q73263647,Riad Nurmohamed,,Minister of Public Works,2020-07-16,,
+++,Q97682387,Rishma Kuldipsingh,,Minister of Economic Affairs,2022-04-19,,
->,Q1968705,Ronnie Brunswijk,Q2520544,Vice President of Suriname->Vice President,2020-07-16,,Q1968705-E93222B1-3D94-4376-AED7-5D452ACCD1CA
+++,Q97484521,Silvano Tjong-Ahin,,Minister of Spatial Planning and Environment,2020-07-16,,
+++,Q111662838,Steven Mac Andrew,,Minister of Employment and Youth,2022-04-19,,
